Handel, Andreas (Author)
Time span:1900-2021. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"A Prospective Validation of a Clinical Algorithm to Detect Tuberculosis in Child Contacts","Martinez, Leonardo; Handel, Andreas; Shen, Ye; Chakraburty, Srijita; Quinn, Frederick D.; Stein, Catherine M.; Malone, LaShaunda L.; Zalwango, Sarah; Whalen, Christopher C.","","","","AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","MAY 1 2018","2018","197","9","","","","1214","1216","","10.1164/rccm.201706-1210LE","","","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Learning infectious disease epidemiology in a modern framework","Handel, Andreas","","","","PLOS COMPUTATIONAL BIOLOGY","OCT 2017","2017","13","10","","","","","","e1005642","10.1371/journal.pcbi.1005642","","","2","0.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"Migration interacts with the local transmission of HIV in developed trade areas: A molecular transmission network analysis in China","Zhang, Jiafeng; Yao, Jiaming; Jiang, Jun; Pan, Xiaohong; Luo, Mingyu; Xia, Yan; Fan, Qin; Ding, Xiaobei; Ruan, Jianjun; Handel, Andreas; Bahl, Justin; Chen, Wanjun; Zha, Lianqi; Fu, Tao","","","","INFECTION GENETICS AND EVOLUTION","OCT 2020","2020","84","","","","","","","104376","10.1016/j.meegid.2020.104376","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Influenza hemagglutinin antigenic distance measures capture trends in HAI differences and infection outcomes, but are not suitable predictive tools","Skarlupka, Amanda L.; Handel, Andreas; Ross, Ted M.","","","","VACCINE","AUG 10 2020","2020","38","36","","","","5822","5830","","10.1016/j.vaccine.2020.06.042","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"A Bayesian approach to estimate parameters of ordinary differential equation","Huang, Hanwen; Handel, Andreas; Song, Xiao","","","","COMPUTATIONAL STATISTICS","SEP 2020","2020","35","3","","","","1481","1499","","10.1007/s00180-020-00962-8","","","1","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Evidence for supercoughers in an analysis of six tuberculosis cohorts from China, Peru, The Gambia and Uganda","Handel, A.; Martinez, L.; Sekandi, J. N.; Bellan, S. E.; Zhu, L.; Chen, C.; Liu, Q.; Donkor, S.; Sutherland, J.; Hill, P. C.; Gilman, R. H.; Grandjean, L.; Whalen, C. C.","","","","INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE","DEC 1 2019","2019","23","12","","","","1286","1292","","10.5588/ijtld.18.0819","","","1","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Role of compensatory mutations in the emergence of drug resistance (vol 2, pg 1262, 2006)","Handel, Andreas; Regoes, Ronald R.; Antia, Rustom","","","","PLOS COMPUTATIONAL BIOLOGY","FEB 2007","2007","3","2","","","","333","333","e46","10.1371/journal.pcbi.0030046","","","1","0.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Community drivers of tuberculosis diagnostic delay in Kampala, Uganda: a retrospective cohort study","Mercaldo, Rachel; Whalen, Christopher; Kakaire, Robert; Nakkonde, Damalie; Handel, Andreas; Sekandi, Juliet N.","","","","BMC INFECTIOUS DISEASES","JUL 4 2021","2021","21","1","","","","","","641","10.1186/s12879-021-06352-9","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Five approaches to the suppression of SARS-CoV-2 without intensive social distancing","Drake, John M.; Rohani, Pej; Dahlin, Kyle; Handel, Andreas","","","","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","APR 28 2021","2021","288","1949","","","","","","20203074","10.1098/rspb.2020.3074","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SARS-CoV-2 Viral and Serological Testing When College Campuses Reopen: Some Practical Considerations","Fung, Isaac Chun-Hai; Cheung, Chi-Ngai; Handel, Andreas","","","","DISASTER MEDICINE AND PUBLIC HEALTH PREPAREDNESS","APR 2021","2021","15","2","","","","E4","E8","PII S1935789320002669","10.1017/dmp.2020.266","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A modeling study to inform screening and testing interventions for the control of SARS-CoV-2 on university campuses","Lopman, Ben; Liu, Carol Y.; Le Guillou, Adrien; Handel, Andreas; Lash, Timothy L.; Isakov, Alexander P.; Jenness, Samuel M.","","","","SCIENTIFIC REPORTS","MAR 15 2021","2021","11","1","","","","","","5900","10.1038/s41598-021-85252-z","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Longitudinal Assessment of Immune Responses to Repeated Annual Influenza Vaccination in a Human Cohort of Adults and Teenagers","Sung, Meng-Hsuan; Shen, Ye; Handel, Andreas; Bahl, Justin; Ross, Ted M.","","","","FRONTIERS IN IMMUNOLOGY","MAR 3 2021","2021","12","","","","","","","642791","10.3389/fimmu.2021.642791","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Effectiveness of neuraminidase inhibitors to prevent mortality in patients with laboratory-confirmed avian influenza A H7N9","Cheng, Wei; Pan, Anqi; Rathbun, Stephen L.; Ge, Yang; Xiao, Qian; Martinez, Leonardo; Ling, Feng; Liu, Shelan; Wang, Xiaoxiao; Yu, Zhao; Ebell, Mark H.; Li, Changwei; Handel, Andreas; Chen, Enfu; Shen, Ye","","","","INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES","FEB 2021","2021","103","","","","","573","578","","10.1016/j.ijid.2020.12.028","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Associations Between Relative Viral Load at Diagnosis and Influenza A Symptoms and Recovery","McKay, Brian; Ebell, Mark; Billings, Wesley Zane; Dale, Ariella Perry; Shen, Ye; Handel, Andreas","","","","OPEN FORUM INFECTIOUS DISEASES","NOV 2020","2020","7","11","","","","","","ofaa494","10.1093/ofid/ofaa494","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dataset of antigenic distance measures, hemagglutination inhibition, viral lung titers, and weight loss in mice and ferrets when exposed to HA-based vaccination or sub-lethal A(H1) influenza infection","Skarlupka, Amanda L.; Handel, Andreas; Ross, Ted M.","","","","DATA IN BRIEF","OCT 2020","2020","32","","","","","","","106118","10.1016/j.dib.2020.106118","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MODELING AND CONTROL OF INFECTIOUS DISEASES IN THE HOST: WITH MATLAB AND R","Handel, Andreas","","","","PEDIATRIC PULMONOLOGY","","2020","","","","","","275","276","","10.1086/710435","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Modeling and Control of Infectious Diseases in the Host: With Matlab and R.","Handel, Andreas","","","","QUARTERLY REVIEW OF BIOLOGY","SEP 1 2020","2020","95","3","","","","275","276","","","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Characterizing Norovirus Transmission from Outbreak Data, United States","Steele, Molly K.; Wikswo, Mary E.; Hall, Aron J.; Koelle, Katia; Handel, Andreas; Levy, Karen; Waller, Lance A.; Lopman, Ben A.","","","","EMERGING INFECTIOUS DISEASES","AUG 2020","2020","26","8","","","","1818","1825","","10.3201/eid2608.191537","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Virulence-mediated infectiousness and activity trade-offs and their impact on transmission potential of influenza patients","McKay, Brian; Ebell, Mark; Dale, Ariella Perry; Shen, Ye; Handel, Andreas","","","","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","MAY 13 2020","2020","287","1927","","","","","","20200496","10.1098/rspb.2020.0496","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Within-Host Models of High and Low Pathogenic Influenza Virus Infections: The Role of Macrophages (vol 11, e0150568, 2016)","Pawelek, Kasia A.; Dor, Daniel, Jr.; Salmeron, Cristian; Handel, Andreas","","","","PLOS ONE","APR 16 2019","2019","14","4","","","","","","e0215700","10.1371/journal.pone.0215700","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Applying functional data analysis to assess tele-interpersonal psychotherapy's efficacy to reduce depression","Woldu, Henok; Heckman, Timothy G.; Handel, Andreas; Shen, Ye","","","","JOURNAL OF APPLIED STATISTICS","JAN 25 2019","2019","46","2","","","","203","216","","10.1080/02664763.2018.1470231","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DOMINANT HLA-MEDIATED PROTECTION FROM THE RISK OF AUTOIMMUNE RENAL DISEASE IS CONFERRED BY ANTIGEN-SPECIFIC REGULATORY T CELLS","Ooi, J. D.; Petersen, J.; Tan, Y. H.; Huynh, M.; Willett, Z. J.; Ramarathinam, S. H.; Eggenhuizen, P. J.; Loh, K. L.; Watson, K. A.; Gan, P. Y.; Alikhan, M. A.; Dudek, N. L.; Handel, A.; Hudson, B. G.; Fugger, L.; Power, D. A.; Holt, S. G.; Coates, P. T.; Gregersen, J. W.; Purcell, A. W.; Holdsworth, S. R.; La Gruta, N. L.; Reid, H. H.; Rossjohn, J.; Kitching, A. R.","","","","NEPHROLOGY","SEP 2017","2017","22","","","3","SI","16","16","","","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IN ANTI-GBM DISEASE, HLA-PEPTIDE CONFORMATION DETERMINES SUSCEPTIBILITY OR PROTECTION FROM DISEASE","Ooi, Joshua D.; Petersen, Jan; Tan, Yu H.; Huynh, Megan; Willett, Zoe J.; Dudek, Nadine L.; Eggenhuizen, Peter J.; Loh, Khai L.; Watson, Katherine A.; Gan, Poh Y.; Handel, Andreas; Hudson, Billy G.; Fugger, Lars; Power, David A.; Holt, Stephen G.; Coates, Patrick T.; Purcell, Anthony W.; Gregersen, Jon W.; Holdsworth, Stephen R.; La Gruta, Nicole L.; Reid, Hugh H.; Rossjohn, Jamie; Kitching, A. Richard","","","","RHEUMATOLOGY","MAR 2017","2017","56","","","3","","23","23","","","18th International Vasculitis and ANCA Workshop","MAR 25-28, 2017","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trade-offs between and within scales: environmental persistence and within-host fitness of avian influenza viruses (vol 281, 20133051, 2014)","Handel, Andreas; Lebarbenchon, Camille; Stallknecht, David; Rohani, Pejman","","","","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","FEB 7 2015","2015","282","1800","","","","","","20142902","10.1098/rspb.2014.2902","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
